"","Genus_Species","Common Name","Genus","Species","Tribe","Subfamily","Family","n","ows"
"4620","Epiblema luctuosissima",NA,"Epiblema","luctuosissima","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4621","Epiblema lyallana",NA,"Epiblema","lyallana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4622","Epiblema macneilli",NA,"Epiblema","macneilli","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4623","Epiblema mandana",NA,"Epiblema","mandana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4624","Epiblema minutana",NA,"Epiblema","minutana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4625","Epiblema numerosana",NA,"Epiblema","numerosana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4626","Epiblema obfuscana",NA,"Epiblema","obfuscana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4627","Epiblema ochraceana",NA,"Epiblema","ochraceana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4628","Epiblema otiosana","Bidens Borer Moth","Epiblema","otiosana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4629","Epiblema periculosana",NA,"Epiblema","periculosana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4630","Epiblema praesumptiosa","Presumed Epiblema Moth","Epiblema","praesumptiosa","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4631","Epiblema radicana",NA,"Epiblema","radicana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4632","Epiblema resumptana",NA,"Epiblema","resumptana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4633","Epiblema rudei",NA,"Epiblema","rudei","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4634","Epiblema scudderiana","Goldenrod Gall Moth","Epiblema","scudderiana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4635","Epiblema separationis",NA,"Epiblema","separationis","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4636","Epiblema sosana",NA,"Epiblema","sosana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4637","Epiblema sticticana",NA,"Epiblema","sticticana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4638","Epiblema strenuana","Ragweed Borer","Epiblema","strenuana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4639","Epiblema tandana",NA,"Epiblema","tandana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4640","Epiblema tripartitana",NA,"Epiblema","tripartitana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4641","Epiblema walsinghami",NA,"Epiblema","walsinghami","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4642","Epicallima argenticinctella","Orange-headed Epicallima Moth","Epicallima","argenticinctella","[Oecophorini]","Oecophorinae","Oecophoridae",1,NA
"4643","Epicallima nathrax",NA,"Epicallima","nathrax","[Oecophorini]","Oecophorinae","Oecophoridae",1,NA
"4644","Epicorsia oedipodalis",NA,"Epicorsia","oedipodalis",NA,"Pyraustinae","Crambidae",1,NA
"4645","Epidemas cinerea",NA,"Epidemas","cinerea","Xylenini","Noctuinae","Noctuidae",1,NA
"4646","Epidemas obscurus",NA,"Epidemas","obscurus","Xylenini","Noctuinae","Noctuidae",1,NA
"4647","Epidromia lienaris",NA,"Epidromia","lienaris","Omopterini","Erebinae","Erebidae",1,NA
"4648","Epidromia pannosa",NA,"Epidromia","pannosa","Omopterini","Erebinae","Erebidae",1,NA
"4649","Epidromia rotundata",NA,"Epidromia","rotundata","Omopterini","Erebinae","Erebidae",1,NA
"4650","Epiglaea apiata","Pointed Sallow Moth","Epiglaea","apiata","Xylenini","Noctuinae","Noctuidae",1,NA
"4651","Epiglaea decliva","Sloping Sallow Moth","Epiglaea","decliva","Xylenini","Noctuinae","Noctuidae",1,NA
"4652","Epilechia catalinella",NA,"Epilechia","catalinella","Pexicopiini","Apatetrinae","Gelechiidae",1,NA
"4653","Epimartyria auricrinella","Goldcap Moss-eater Moth","Epimartyria","auricrinella",NA,"[Micropteriginae]","Micropterigidae",1,NA
"4654","Epimartyria bimaculella",NA,"Epimartyria","bimaculella",NA,"[Micropteriginae]","Micropterigidae",1,NA
"4655","Epimartyria pardella",NA,"Epimartyria","pardella",NA,"[Micropteriginae]","Micropterigidae",1,NA
"4656","Epimecis anonaria",NA,"Epimecis","anonaria","Boarmiini","Ennominae","Geometridae",1,NA
"4657","Epimecis detexta","Avacado Spanworm Moth","Epimecis","detexta","Boarmiini","Ennominae","Geometridae",1,NA
"4658","Epimecis fraternaria",NA,"Epimecis","fraternaria","Boarmiini","Ennominae","Geometridae",1,NA
"4659","Epimecis hortaria","Tulip-tree Beauty Moth","Epimecis","hortaria","Boarmiini","Ennominae","Geometridae",1,NA
"4660","Epimecis matronaria",NA,"Epimecis","matronaria","Boarmiini","Ennominae","Geometridae",1,NA
"4661","Epimorius testaceellus","Bromeliad Pod Borer Moth","Epimorius","testaceellus","Tirathabini","Galleriinae","Pyralidae",1,NA
"4662","Epina alleni",NA,"Epina","alleni","Chilonini","Crambinae","Crambidae",1,NA
"4663","Epina dichromella",NA,"Epina","dichromella","Chilonini","Crambinae","Crambidae",1,NA
"4664","Epinotia abbreviana",NA,"Epinotia","abbreviana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4665","Epinotia albangulana",NA,"Epinotia","albangulana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4666","Epinotia albicapitana",NA,"Epinotia","albicapitana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4667","Epinotia arctostaphylana",NA,"Epinotia","arctostaphylana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4668","Epinotia aridos",NA,"Epinotia","aridos","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4669","Epinotia balsameae",NA,"Epinotia","balsameae","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4670","Epinotia biangulana",NA,"Epinotia","biangulana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4671","Epinotia bicordana",NA,"Epinotia","bicordana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4672","Epinotia bigemina",NA,"Epinotia","bigemina","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4673","Epinotia castaneana",NA,"Epinotia","castaneana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4674","Epinotia celtisana",NA,"Epinotia","celtisana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4675","Epinotia cercocarpana",NA,"Epinotia","cercocarpana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4676","Epinotia cinereana",NA,"Epinotia","cinereana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4677","Epinotia columbia",NA,"Epinotia","columbia",NA,NA,NA,1,NA
"4678","Epinotia corylana",NA,"Epinotia","corylana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4679","Epinotia cruciana","Willow Tortrix Moth","Epinotia","cruciana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4680","Epinotia cupressi",NA,"Epinotia","cupressi","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4681","Epinotia digitana",NA,"Epinotia","digitana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4682","Epinotia emarginana",NA,"Epinotia","emarginana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4683","Epinotia ephemerana",NA,"Epinotia","ephemerana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4684","Epinotia ethnica",NA,"Epinotia","ethnica","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4685","Epinotia fumoviridana",NA,"Epinotia","fumoviridana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4686","Epinotia hamptonana",NA,"Epinotia","hamptonana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4687","Epinotia heucherana",NA,"Epinotia","heucherana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4688","Epinotia hopkinsana",NA,"Epinotia","hopkinsana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4689","Epinotia huroniensis",NA,"Epinotia","huroniensis","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4690","Epinotia improvisana",NA,"Epinotia","improvisana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4691","Epinotia infuscana",NA,"Epinotia","infuscana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4692","Epinotia johnsonana",NA,"Epinotia","johnsonana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4693","Epinotia kasloana",NA,"Epinotia","kasloana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4694","Epinotia keiferana",NA,"Epinotia","keiferana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4695","Epinotia lindana","Diamondback Epinotia Moth","Epinotia","lindana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4696","Epinotia lomonana",NA,"Epinotia","lomonana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4697","Epinotia madderana","White Lace Epinotia Moth","Epinotia","madderana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4698","Epinotia medioplagata",NA,"Epinotia","medioplagata","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4699","Epinotia medioviridana","Raspberry Leaf-roller Moth","Epinotia","medioviridana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4700","Epinotia meritana","White Fir Needleminer Moth","Epinotia","meritana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4701","Epinotia miscana",NA,"Epinotia","miscana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4702","Epinotia momonana",NA,"Epinotia","momonana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4703","Epinotia myricana",NA,"Epinotia","myricana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4704","Epinotia nanana","European Spruce Needleminer Moth","Epinotia","nanana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4705","Epinotia nigralbana",NA,"Epinotia","nigralbana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4706","Epinotia nigralbanoidana",NA,"Epinotia","nigralbanoidana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4707","Epinotia nisella","Poplar Branchlet Borer Moth","Epinotia","nisella","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4708","Epinotia nonana",NA,"Epinotia","nonana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4709","Epinotia normanana",NA,"Epinotia","normanana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4710","Epinotia plumbolineana",NA,"Epinotia","plumbolineana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4711","Epinotia pulsatillana",NA,"Epinotia","pulsatillana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4712","Epinotia purpuriciliana",NA,"Epinotia","purpuriciliana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4713","Epinotia radicana","Red-Striped Needleworm Moth","Epinotia","radicana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4714","Epinotia rectiplicana",NA,"Epinotia","rectiplicana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4715","Epinotia removana",NA,"Epinotia","removana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4716","Epinotia ruidosana",NA,"Epinotia","ruidosana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4717","Epinotia sagittana",NA,"Epinotia","sagittana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4718","Epinotia salicicolana",NA,"Epinotia","salicicolana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4719","Epinotia seorsa",NA,"Epinotia","seorsa","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4720","Epinotia septemberana",NA,"Epinotia","septemberana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4721","Epinotia signiferana",NA,"Epinotia","signiferana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4722","Epinotia silvertoniensis",NA,"Epinotia","silvertoniensis","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4723","Epinotia solandriana","Birch-Aspen Leafroller Moth","Epinotia","solandriana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4724","Epinotia solicitana","Birch Shoot Borer Moth","Epinotia","solicitana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4725","Epinotia sotipena","Black Dash Epinotia Moth","Epinotia","sotipena","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4726","Epinotia sperana",NA,"Epinotia","sperana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4727","Epinotia subplicana",NA,"Epinotia","subplicana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4728","Epinotia subviridis",NA,"Epinotia","subviridis","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4729","Epinotia terracoctana",NA,"Epinotia","terracoctana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4730","Epinotia transmissana","Walker's Epinotia Moth","Epinotia","transmissana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4731","Epinotia trigonella","Birch Epinotia Moth","Epinotia","trigonella","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4732","Epinotia trossulana",NA,"Epinotia","trossulana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4733","Epinotia tsugana","Hemlock Needleminer Moth","Epinotia","tsugana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4734","Epinotia vagana",NA,"Epinotia","vagana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4735","Epinotia vertumnana",NA,"Epinotia","vertumnana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4736","Epinotia walkerana",NA,"Epinotia","walkerana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4737","Epinotia wrighti",NA,"Epinotia","wrighti","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4738","Epinotia xandana",NA,"Epinotia","xandana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4739","Epinotia zandana",NA,"Epinotia","zandana","Eucosmini","Olethreutinae","Tortricidae",1,NA
"4740","Epipagis disparilis",NA,"Epipagis","disparilis",NA,"Spilomelinae","Crambidae",1,NA
"4741","Epipagis fenestralis",NA,"Epipagis","fenestralis",NA,"Spilomelinae","Crambidae",1,NA
"4742","Epipagis forsythae","Forsyth's Epipagis Moth","Epipagis","forsythae",NA,"Spilomelinae","Crambidae",1,NA
"4743","Epipaschia superatalis",NA,"Epipaschia","superatalis",NA,"Epipaschiinae","Pyralidae",1,NA
"4744","Epiphile adrasta",NA,"Epiphile","adrasta","Epiphelini","Biblidinae","Nymphalidae",1,NA
"4745","Epiphyas postvittana","Light Brown Apple Moth","Epiphyas","postvittana","Archipini","Tortricinae","Tortricidae",1,NA
"4746","Epiplema incolorata",NA,"Epiplema","incolorata",NA,"Epipleminae","Uraniidae",1,NA
"4747","Epirrhoe alternata","White-banded Toothed Carpet Moth","Epirrhoe","alternata","Xanthorhoini","Larentiinae","Geometridae",1,NA
"4748","Epirrhoe medeifascia",NA,"Epirrhoe","medeifascia","Xanthorhoini","Larentiinae","Geometridae",1,NA
"4749","Epirrhoe plebeculata",NA,"Epirrhoe","plebeculata","Xanthorhoini","Larentiinae","Geometridae",1,NA
"4750","Epirrhoe sperryi",NA,"Epirrhoe","sperryi","Xanthorhoini","Larentiinae","Geometridae",1,NA
"4751","Epirrita autumnata","Autumnal Moth","Epirrita","autumnata","Operophterini","Larentiinae","Geometridae",1,NA
"4752","Epirrita undulata",NA,"Epirrita","undulata","Operophterini","Larentiinae","Geometridae",1,NA
"4753","Episcepsis inornata",NA,"Episcepsis","inornata","Arctiini","Arctiinae","Erebidae",1,NA
"4754","Episemasia cervinaria",NA,"Episemasia","cervinaria","Caberini","Ennominae","Geometridae",1,NA
"4755","Episemasia solitaria",NA,"Episemasia","solitaria","Caberini","Ennominae","Geometridae",1,NA
"4756","Episimus argutana","Sumac Leaftier Moth","Episimus","argutana","Olethreutini","Olethreutinae","Tortricidae",1,NA
"4757","Episimus augmentana",NA,"Episimus","augmentana","Olethreutini","Olethreutinae","Tortricidae",1,NA
"4758","Episimus burserae",NA,"Episimus","burserae","Olethreutini","Olethreutinae","Tortricidae",1,NA
"4759","Episimus guiana",NA,"Episimus","guiana","Olethreutini","Olethreutinae","Tortricidae",1,NA
"4760","Episimus kimballi",NA,"Episimus","kimballi","Olethreutini","Olethreutinae","Tortricidae",1,NA
"4761","Episimus lagunculariae",NA,"Episimus","lagunculariae","Olethreutini","Olethreutinae","Tortricidae",1,NA
"4762","Episimus nesiotes",NA,"Episimus","nesiotes","Olethreutini","Olethreutinae","Tortricidae",1,NA
"4763","Episimus transferrana",NA,"Episimus","transferrana","Olethreutini","Olethreutinae","Tortricidae",1,NA
"4764","Episimus tyrius","Maple Tip Borer Moth","Episimus","tyrius","Olethreutini","Olethreutinae","Tortricidae",1,NA
"4765","Epitamyra albomaculalis",NA,"Epitamyra","albomaculalis",NA,"Chrysauginae","Pyralidae",1,NA
"4766","Epitausa coppryi",NA,"Epitausa","coppryi",NA,"Eulepidotinae","Erebidae",1,NA
"4767","Epitausa prona",NA,"Epitausa","prona",NA,"Eulepidotinae","Erebidae",1,NA
"4768","Eralea abludius",NA,"Eralea","abludius",NA,"Cosmopteriginae","Cosmopterigidae",1,NA
"4769","Eralea albalineella",NA,"Eralea","albalineella",NA,"Cosmopteriginae","Cosmopterigidae",1,NA
"4770","Erannis tiliaria","Linden Looper Moth","Erannis","tiliaria","Bistonini","Ennominae","Geometridae",1,NA
"4771","Erannis vancouverensis",NA,"Erannis","vancouverensis","Bistonini","Ennominae","Geometridae",1,NA
"4772","Erastria coloraria","Broad-lined Erastria Moth","Erastria","coloraria","Caberini","Ennominae","Geometridae",1,NA
"4773","Erastria cruentaria","Thin-Lined Erastria Moth","Erastria","cruentaria","Caberini","Ennominae","Geometridae",1,NA
"4774","Erastria decrepitaria",NA,"Erastria","decrepitaria","Caberini","Ennominae","Geometridae",1,NA
"4775","Erastria viridirufaria",NA,"Erastria","viridirufaria","Caberini","Ennominae","Geometridae",1,NA
"4776","Ercta vittata",NA,"Ercta","vittata",NA,"Spilomelinae","Crambidae",1,NA
"4777","Erebia callias",NA,"Erebia","callias","Satyrini","Satyrinae","Nymphalidae",1,NA
"4778","Erebia disa",NA,"Erebia","disa","Satyrini","Satyrinae","Nymphalidae",1,NA
"4779","Erebia discoidalis",NA,"Erebia","discoidalis","Satyrini","Satyrinae","Nymphalidae",1,NA
"4780","Erebia epipsodea",NA,"Erebia","epipsodea","Satyrini","Satyrinae","Nymphalidae",1,NA
"4781","Erebia fasciata",NA,"Erebia","fasciata","Satyrini","Satyrinae","Nymphalidae",1,NA
"4782","Erebia lafontainei",NA,"Erebia","lafontainei","Satyrini","Satyrinae","Nymphalidae",1,NA
"4783","Erebia mackinleyensis",NA,"Erebia","mackinleyensis","Satyrini","Satyrinae","Nymphalidae",1,NA
"4784","Erebia magdalena",NA,"Erebia","magdalena","Satyrini","Satyrinae","Nymphalidae",1,NA
"4785","Erebia mancinus",NA,"Erebia","mancinus","Satyrini","Satyrinae","Nymphalidae",1,NA
"4786","Erebia occulta",NA,"Erebia","occulta","Satyrini","Satyrinae","Nymphalidae",1,NA
"4787","Erebia pawloskii",NA,"Erebia","pawloskii","Satyrini","Satyrinae","Nymphalidae",1,NA
"4788","Erebia rossii",NA,"Erebia","rossii","Satyrini","Satyrinae","Nymphalidae",1,NA
"4789","Erebia vidleri",NA,"Erebia","vidleri","Satyrini","Satyrinae","Nymphalidae",1,NA
"4790","Erebia youngi",NA,"Erebia","youngi","Satyrini","Satyrinae","Nymphalidae",1,NA
"4791","Erechthias minuscula","Caribbean Scavenger Moth","Erechthias","minuscula",NA,"Erechthiinae","Tineidae",1,NA
"4792","Erechthias zebrina",NA,"Erechthias","zebrina",NA,"Erechthiinae","Tineidae",1,NA
"4793","Erelieva parvulella",NA,"Erelieva","parvulella","Phycitini","Phycitinae","Pyralidae",1,NA
"4794","Erelieva quantulella",NA,"Erelieva","quantulella","Phycitini","Phycitinae","Pyralidae",1,NA
"4795","Eremanthe chemsaki",NA,"Eremanthe","chemsaki","Odontiini","Odontiinae","Crambidae",1,NA
"4796","Eremberga creabates",NA,"Eremberga","creabates","Phycitini","Phycitinae","Pyralidae",1,NA
"4797","Eremberga insignis",NA,"Eremberga","insignis","Phycitini","Phycitinae","Pyralidae",1,NA
"4798","Eremberga leuconips",NA,"Eremberga","leuconips","Phycitini","Phycitinae","Pyralidae",1,NA
"4799","Eremobina claudens","Dark-winged Quaker Moth","Eremobina","claudens","Apameini","Noctuinae","Noctuidae",1,NA
"4800","Eremobina leucoscelis",NA,"Eremobina","leucoscelis","Apameini","Noctuinae","Noctuidae",1,NA
"4801","Eremobina unicincta",NA,"Eremobina","unicincta","Apameini","Noctuinae","Noctuidae",1,NA
"4802","Erinnyis alope","Alope Sphinx Moth","Erinnyis","alope","Dilophonotini","Macroglossinae","Sphingidae",1,NA
"4803","Erinnyis crameri","Cramer's Sphinx Moth","Erinnyis","crameri","Dilophonotini","Macroglossinae","Sphingidae",1,NA
"4804","Erinnyis ello","Ello Sphinx Moth","Erinnyis","ello","Dilophonotini","Macroglossinae","Sphingidae",1,NA
"4805","Erinnyis guttularis",NA,"Erinnyis","guttularis","Dilophonotini","Macroglossinae","Sphingidae",1,NA
"4806","Erinnyis lassauxii","Lassaux's Sphinx Moth","Erinnyis","lassauxii","Dilophonotini","Macroglossinae","Sphingidae",1,NA
"4807","Erinnyis obscura","Obscure Sphinx Moth","Erinnyis","obscura","Dilophonotini","Macroglossinae","Sphingidae",1,NA
"4808","Erinnyis oenotrus","Oleander Sphinx Moth","Erinnyis","oenotrus","Dilophonotini","Macroglossinae","Sphingidae",1,NA
"4809","Erinnyis yucatana",NA,"Erinnyis","yucatana","Dilophonotini","Macroglossinae","Sphingidae",1,NA
"4810","Eriocrania breviapex",NA,"Eriocrania","breviapex",NA,"[Eriocraniinae]","Eriocraniidae",1,NA
"4811","Eriocrania semipurpurella","Purplish Birch-miner Moth","Eriocrania","semipurpurella",NA,"[Eriocraniinae]","Eriocraniidae",1,NA
"4812","Eriocraniella aurosparsella",NA,"Eriocraniella","aurosparsella",NA,"[Eriocraniinae]","Eriocraniidae",1,NA
"4813","Eriocraniella falcata",NA,"Eriocraniella","falcata",NA,"[Eriocraniinae]","Eriocraniidae",1,NA
"4814","Eriocraniella longifurcula",NA,"Eriocraniella","longifurcula",NA,"[Eriocraniinae]","Eriocraniidae",1,NA
"4815","Eriocraniella mediabulla",NA,"Eriocraniella","mediabulla",NA,"[Eriocraniinae]","Eriocraniidae",1,NA
"4816","Eriocraniella platyptera",NA,"Eriocraniella","platyptera",NA,"[Eriocraniinae]","Eriocraniidae",1,NA
"4817","Eriocraniella trigona",NA,"Eriocraniella","trigona",NA,"[Eriocraniinae]","Eriocraniidae",1,NA
"4818","Eriocraniella variegata",NA,"Eriocraniella","variegata",NA,"[Eriocraniinae]","Eriocraniidae",1,NA
"4819","Eriocraniella xanthocara",NA,"Eriocraniella","xanthocara",NA,"[Eriocraniinae]","Eriocraniidae",1,NA
"4820","Erionota thrax",NA,"Erionota","thrax","Hesperiinae-unplaced","Hesperiinae","Hesperiidae",1,NA
"4821","Eriopyga crista",NA,"Eriopyga","crista","Eriopygini","Noctuinae","Noctuidae",1,NA
"4822","Eriplatymetra coloradaria",NA,"Eriplatymetra","coloradaria","Ourapterygini","Ennominae","Geometridae",1,NA
"4823","Eriplatymetra grotearia",NA,"Eriplatymetra","grotearia","Ourapterygini","Ennominae","Geometridae",1,NA
"4824","Eriplatymetra lentifluata",NA,"Eriplatymetra","lentifluata","Ourapterygini","Ennominae","Geometridae",1,NA
"4825","Erora laeta",NA,"Erora","laeta","Eumaeini","Theclinae","Lycaenidae",1,NA
"4826","Erora quaderna",NA,"Erora","quaderna","Eumaeini","Theclinae","Lycaenidae",1,NA
"4827","Erosia incendiata",NA,"Erosia","incendiata",NA,"Epipleminae","Uraniidae",1,NA
"4828","Ersephila grandipennis",NA,"Ersephila","grandipennis","Hydriomenini","Larentiinae","Geometridae",1,NA
"4829","Ersephila indistincta",NA,"Ersephila","indistincta","Hydriomenini","Larentiinae","Geometridae",1,NA
"4830","Erynnis afranius",NA,"Erynnis","afranius","Erynnini","Pyrginae","Hesperiidae",1,NA
"4831","Erynnis baptisiae",NA,"Erynnis","baptisiae","Erynnini","Pyrginae","Hesperiidae",1,NA
"4832","Erynnis brizo",NA,"Erynnis","brizo","Erynnini","Pyrginae","Hesperiidae",1,NA
"4833","Erynnis funeralis",NA,"Erynnis","funeralis","Erynnini","Pyrginae","Hesperiidae",1,NA
"4834","Erynnis horatius",NA,"Erynnis","horatius","Erynnini","Pyrginae","Hesperiidae",1,NA
"4835","Erynnis icelus",NA,"Erynnis","icelus","Erynnini","Pyrginae","Hesperiidae",1,NA
"4836","Erynnis juvenalis",NA,"Erynnis","juvenalis","Erynnini","Pyrginae","Hesperiidae",1,NA
"4837","Erynnis lucilius",NA,"Erynnis","lucilius","Erynnini","Pyrginae","Hesperiidae",1,NA
"4838","Erynnis martialis",NA,"Erynnis","martialis","Erynnini","Pyrginae","Hesperiidae",1,NA
"4839","Erynnis meridianus",NA,"Erynnis","meridianus","Erynnini","Pyrginae","Hesperiidae",1,NA
"4840","Erynnis pacuvius",NA,"Erynnis","pacuvius","Erynnini","Pyrginae","Hesperiidae",1,NA
"4841","Erynnis persius",NA,"Erynnis","persius","Erynnini","Pyrginae","Hesperiidae",1,NA
"4842","Erynnis propertius",NA,"Erynnis","propertius","Erynnini","Pyrginae","Hesperiidae",1,NA
"4843","Erynnis scudderi",NA,"Erynnis","scudderi","Erynnini","Pyrginae","Hesperiidae",1,NA
"4844","Erynnis telemachus",NA,"Erynnis","telemachus","Erynnini","Pyrginae","Hesperiidae",1,NA
"4845","Erynnis tristis",NA,"Erynnis","tristis","Erynnini","Pyrginae","Hesperiidae",1,NA
"4846","Erynnis zarucco",NA,"Erynnis","zarucco","Erynnini","Pyrginae","Hesperiidae",1,NA
"4847","Escaria clauda",NA,"Escaria","clauda","Hadenini","Noctuinae","Noctuidae",1,NA
"4848","Escaria homogena",NA,"Escaria","homogena","Hadenini","Noctuinae","Noctuidae",1,NA
"4849","Esperia sulphurella","Sulphur Esperia Moth","Esperia","sulphurella","[Oecophorini]","Oecophorinae","Oecophoridae",1,NA
"4850","Estigmene acrea","Salt Marsh Moth","Estigmene","acrea","Arctiini","Arctiinae","Erebidae",1,NA
"4851","Estigmene albida",NA,"Estigmene","albida","Arctiini","Arctiinae","Erebidae",1,NA
"4852","Etainia albibimaculella",NA,"Etainia","albibimaculella",NA,"[Nepticulinae]","Nepticulidae",1,NA
"4853","Etainia ochrefasciella","Hard Maple Budminer Moth","Etainia","ochrefasciella",NA,"[Nepticulinae]","Nepticulidae",1,NA
"4854","Etainia sericopeza",NA,"Etainia","sericopeza",NA,"[Nepticulinae]","Nepticulidae",1,NA
"4855","Eteobalea intermediella",NA,"Eteobalea","intermediella",NA,"Cosmopteriginae","Cosmopterigidae",1,NA
"4856","Eteobalea serratella",NA,"Eteobalea","serratella",NA,"Cosmopteriginae","Cosmopterigidae",1,NA
"4857","Ethelgoda texanana",NA,"Ethelgoda","texanana","Grapholitini","Olethreutinae","Tortricidae",1,NA
"4858","Ethmia abraxasella",NA,"Ethmia","abraxasella",NA,"Ethmiinae","Depressariidae",1,NA
"4859","Ethmia albicostella",NA,"Ethmia","albicostella",NA,"Ethmiinae","Depressariidae",1,NA
"4860","Ethmia albistrigella",NA,"Ethmia","albistrigella",NA,"Ethmiinae","Depressariidae",1,NA
"4861","Ethmia albitogata",NA,"Ethmia","albitogata",NA,"Ethmiinae","Depressariidae",1,NA
"4862","Ethmia angustalatella",NA,"Ethmia","angustalatella",NA,"Ethmiinae","Depressariidae",1,NA
